file,nI,nJ,nK,nL,tI,tJ,seed,kstar,md5
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s3.txt,12,12,30,3,8,8,3,16,79e9bea2057a40e569859621310e64b2
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s4.txt,12,12,30,3,8,8,4,16,f853814a1355cef080896bdaa18d7f78
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s5.txt,12,12,30,3,8,8,5,16,ccc1838514b6870201e4b9f995a176e9
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s6.txt,12,12,30,3,8,8,6,16,985a7976955ff52a28a1ca9f50834622
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s7.txt,12,12,30,3,8,8,7,16,ae20ef8385b81225d2bbe1282801fc35
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s8.txt,12,12,30,3,8,8,8,16,a3894a5492c6b75cd3d4020169407a9a
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s9.txt,12,12,30,3,8,8,9,16,3ce980708ef7d7925aedd875bae3faab
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s10.txt,12,12,30,3,8,8,10,16,b7cc7db56aae390259988483c8007902
kstar_nI14_nJ14_nK30_nL3_tI2_tJ2_s1.txt,14,14,30,3,2,2,1,4,4d4680220e33dd50a2688af4121bd0e0
kstar_nI14_nJ14_nK30_nL3_tI2_tJ2_s2.txt,14,14,30,3,2,2,2,4,d04c01591509755a4c2433c3856d4b6c
kstar_nI14_nJ14_nK30_nL3_tI2_tJ2_s3.txt,14,14,30,3,2,2,3,4,8097eb67a2c4060ee371e0f0e36ff541
kstar_nI14_nJ14_nK30_nL3_tI2_tJ2_s4.txt,14,14,30,3,2,2,4,4,a03b183b81c0aecb65f7af5fa5c52ffa
kstar_nI14_nJ14_nK30_nL3_tI2_tJ2_s5.txt,14,14,30,3,2,2,5,4,4a45814dd1c8436ddfbd173fbd5848a9
kstar_nI14_nJ14_nK30_nL3_tI2_tJ2_s6.txt,14,14,30,3,2,2,6,4,9f236fa27cb87ff8ef5945d01ed4cf00
kstar_nI14_nJ14_nK30_nL3_tI2_tJ2_s7.txt,14,14,30,3,2,2,7,4,27011ac57c3c89f3e62f13ddcecd87e4
kstar_nI14_nJ14_nK30_nL3_tI2_tJ2_s8.txt,14,14,30,3,2,2,8,4,1bd87f312f6744596be4de6cc5b87901
kstar_nI14_nJ14_nK30_nL3_tI2_tJ2_s9.txt,14,14,30,3,2,2,9,4,0dc6a8d30de29ab1dde6a13b86a3e372
kstar_nI14_nJ14_nK30_nL3_tI2_tJ2_s10.txt,14,14,30,3,2,2,10,4,cd52c8e93e12b95591ccae7146a9bb5c
kstar_nI14_nJ14_nK30_nL3_tI4_tJ4_s1.txt,14,14,30,3,4,4,1,8,d3ac664f064c74eb81e1ef1d58c0865d
kstar_nI14_nJ14_nK30_nL3_tI4_tJ4_s2.txt,14,14,30,3,4,4,2,8,aa8655f0142a40ddbf38e3595c6d59e7
kstar_nI14_nJ14_nK30_nL3_tI4_tJ4_s3.txt,14,14,30,3,4,4,3,8,59dc543051bbac2fa25039bb7e80994e
kstar_nI14_nJ14_nK30_nL3_tI4_tJ4_s4.txt,14,14,30,3,4,4,4,8,5d8754e348b2367082a82c00dda4bbaf
kstar_nI14_nJ14_nK30_nL3_tI4_tJ4_s5.txt,14,14,30,3,4,4,5,8,cd348b283d54f423a6e19a685cb7d432
kstar_nI14_nJ14_nK30_nL3_tI4_tJ4_s6.txt,14,14,30,3,4,4,6,8,13a8449455aa6418b328d68872f375d1
kstar_nI14_nJ14_nK30_nL3_tI4_tJ4_s7.txt,14,14,30,3,4,4,7,8,0b4a397e0f9efe3504449f10941faee4
kstar_nI14_nJ14_nK30_nL3_tI4_tJ4_s8.txt,14,14,30,3,4,4,8,8,fe0426c5fe779beb600da17f85db24ef
kstar_nI14_nJ14_nK30_nL3_tI4_tJ4_s9.txt,14,14,30,3,4,4,9,8,68bfaf5651e28136bb4ec86573e4eb77
kstar_nI14_nJ14_nK30_nL3_tI4_tJ4_s10.txt,14,14,30,3,4,4,10,8,234ca7d34e5ca21dfb124862714816c4
kstar_nI14_nJ14_nK30_nL3_tI6_tJ6_s1.txt,14,14,30,3,6,6,1,12,8514b001fc44fe0e310c877008a9cc4c
kstar_nI14_nJ14_nK30_nL3_tI6_tJ6_s2.txt,14,14,30,3,6,6,2,12,31bb25ac3a249db27f9a313a11bcdc98
kstar_nI14_nJ14_nK30_nL3_tI6_tJ6_s3.txt,14,14,30,3,6,6,3,12,52ad320ac88ab1f09ed75391e88fed5d
kstar_nI14_nJ14_nK30_nL3_tI6_tJ6_s4.txt,14,14,30,3,6,6,4,12,6ad110ad76caf88f1c72d061ec43b5d9
kstar_nI14_nJ14_nK30_nL3_tI6_tJ6_s5.txt,14,14,30,3,6,6,5,12,b4910a1f260d0a0618a91d528e8773e1
kstar_nI14_nJ14_nK30_nL3_tI6_tJ6_s6.txt,14,14,30,3,6,6,6,12,f86741019223b8da8c3085d910a6b64b
kstar_nI14_nJ14_nK30_nL3_tI6_tJ6_s7.txt,14,14,30,3,6,6,7,12,4239ddf98f187a2134bee382b8246a02
kstar_nI14_nJ14_nK30_nL3_tI6_tJ6_s8.txt,14,14,30,3,6,6,8,12,002f11f6642312f3109b3a72d387b120
kstar_nI14_nJ14_nK30_nL3_tI6_tJ6_s9.txt,14,14,30,3,6,6,9,12,47a94f1c6ae9725055afb3880a4e13e3
kstar_nI14_nJ14_nK30_nL3_tI6_tJ6_s10.txt,14,14,30,3,6,6,10,12,f66a3defaeaf210e34f0db350929617b
kstar_nI14_nJ14_nK30_nL3_tI8_tJ8_s1.txt,14,14,30,3,8,8,1,16,458d0ac7aaf54169194d51fcf14a575a
kstar_nI14_nJ14_nK30_nL3_tI8_tJ8_s2.txt,14,14,30,3,8,8,2,16,b154021cf5ad79ee5b63420042853c6e
kstar_nI14_nJ14_nK30_nL3_tI8_tJ8_s3.txt,14,14,30,3,8,8,3,16,f357b5d9525f1943fcccc0325f557a71
kstar_nI14_nJ14_nK30_nL3_tI8_tJ8_s4.txt,14,14,30,3,8,8,4,16,2e7bb23dc264cd7d2a57d65fd7cd2dfa
kstar_nI14_nJ14_nK30_nL3_tI8_tJ8_s5.txt,14,14,30,3,8,8,5,16,22d82f96df3c00081f1687123d0d7278
kstar_nI14_nJ14_nK30_nL3_tI8_tJ8_s6.txt,14,14,30,3,8,8,6,16,a320fac588e24011ae6297683776b893
kstar_nI14_nJ14_nK30_nL3_tI8_tJ8_s7.txt,14,14,30,3,8,8,7,16,55406e04653cf820226efdfda950250e
kstar_nI14_nJ14_nK30_nL3_tI8_tJ8_s8.txt,14,14,30,3,8,8,8,16,e60eaf385cedab1415b6ad32a18090f9
kstar_nI14_nJ14_nK30_nL3_tI8_tJ8_s9.txt,14,14,30,3,8,8,9,16,1bd9b6ccecefb088569d69bce4f133d8
kstar_nI14_nJ14_nK30_nL3_tI8_tJ8_s10.txt,14,14,30,3,8,8,10,16,d44d6b4f8d51e37d83167f453583190b
kstar_nI15_nJ15_nK30_nL3_tI2_tJ2_s1.txt,15,15,30,3,2,2,1,4,01125bb3b98c1aab7b018154b08e27a4
kstar_nI15_nJ15_nK30_nL3_tI2_tJ2_s2.txt,15,15,30,3,2,2,2,4,462aaa6a6da77103460f0502da72d686
kstar_nI15_nJ15_nK30_nL3_tI2_tJ2_s3.txt,15,15,30,3,2,2,3,4,184ff773686d77e0f076cc5b468c8b2f
kstar_nI15_nJ15_nK30_nL3_tI2_tJ2_s4.txt,15,15,30,3,2,2,4,4,1e10371716e7789e67ccb0a88db5fee2
kstar_nI15_nJ15_nK30_nL3_tI2_tJ2_s5.txt,15,15,30,3,2,2,5,4,5dcfebdb8dc64bca20ce95397ac390bd
kstar_nI15_nJ15_nK30_nL3_tI2_tJ2_s6.txt,15,15,30,3,2,2,6,4,1972d41b136384a0a357ee41863477a0
kstar_nI15_nJ15_nK30_nL3_tI2_tJ2_s7.txt,15,15,30,3,2,2,7,4,0a83c110743383760e00bee582fff617
kstar_nI15_nJ15_nK30_nL3_tI2_tJ2_s8.txt,15,15,30,3,2,2,8,4,dc93bde1843619b7df00e84310107b8d
kstar_nI15_nJ15_nK30_nL3_tI2_tJ2_s9.txt,15,15,30,3,2,2,9,4,8b1b3077064a2b9cd867edc2fb2e5249
kstar_nI15_nJ15_nK30_nL3_tI2_tJ2_s10.txt,15,15,30,3,2,2,10,4,2aa76eb83b14f9e21b65529fb711c2f1
kstar_nI15_nJ15_nK30_nL3_tI4_tJ4_s1.txt,15,15,30,3,4,4,1,8,31477f3de467215f9a6b62b38233eb6b
kstar_nI15_nJ15_nK30_nL3_tI4_tJ4_s2.txt,15,15,30,3,4,4,2,8,cd7cae75f624ddd5a50d176b79ea46c7
kstar_nI15_nJ15_nK30_nL3_tI4_tJ4_s3.txt,15,15,30,3,4,4,3,8,48e0df726d176a84d176a194d2a9b12c
kstar_nI15_nJ15_nK30_nL3_tI4_tJ4_s4.txt,15,15,30,3,4,4,4,8,5478855748f8415dbd551ba63fe61981
kstar_nI15_nJ15_nK30_nL3_tI4_tJ4_s5.txt,15,15,30,3,4,4,5,8,f46b3a36f0f54c690d20077e92232d18
kstar_nI15_nJ15_nK30_nL3_tI4_tJ4_s6.txt,15,15,30,3,4,4,6,8,43373bf5ae7f7cb8958b3da0b54b418a
kstar_nI15_nJ15_nK30_nL3_tI4_tJ4_s7.txt,15,15,30,3,4,4,7,8,14278858448ed0992755c43861dc3f19
kstar_nI15_nJ15_nK30_nL3_tI4_tJ4_s8.txt,15,15,30,3,4,4,8,8,1881d3ca08039e457ea565e6d873ceb1
kstar_nI15_nJ15_nK30_nL3_tI4_tJ4_s9.txt,15,15,30,3,4,4,9,8,9541aee17cc3f6c1d5147f501ce14569
kstar_nI15_nJ15_nK30_nL3_tI4_tJ4_s10.txt,15,15,30,3,4,4,10,8,8c47a3a90ec9680c949d38ff924949d7
kstar_nI15_nJ15_nK30_nL3_tI6_tJ6_s1.txt,15,15,30,3,6,6,1,12,69a81bdf3ead12e3153990d518f18cab
kstar_nI15_nJ15_nK30_nL3_tI6_tJ6_s2.txt,15,15,30,3,6,6,2,12,fdf4cc20b04d8d02c90a852c4d3d6fbf
kstar_nI15_nJ15_nK30_nL3_tI6_tJ6_s3.txt,15,15,30,3,6,6,3,12,5fadef7e63fe3604ff382b27b0bb7ff7
kstar_nI15_nJ15_nK30_nL3_tI6_tJ6_s4.txt,15,15,30,3,6,6,4,12,237f19b9e625804f934773d9b9b8ae0a
kstar_nI15_nJ15_nK30_nL3_tI6_tJ6_s5.txt,15,15,30,3,6,6,5,12,2917272913399aa1cc2651af21eacfbf
kstar_nI15_nJ15_nK30_nL3_tI6_tJ6_s6.txt,15,15,30,3,6,6,6,12,49d50b306e880b51fcf5c1f98c5d6240
kstar_nI15_nJ15_nK30_nL3_tI6_tJ6_s7.txt,15,15,30,3,6,6,7,12,f1f8537c1d847af6dfd344e74b8b379c
kstar_nI15_nJ15_nK30_nL3_tI6_tJ6_s8.txt,15,15,30,3,6,6,8,12,3b70f491b480125f73bd1329b758ac51
kstar_nI15_nJ15_nK30_nL3_tI6_tJ6_s9.txt,15,15,30,3,6,6,9,12,5e47ff00c63601c619e63fcd0567e220
kstar_nI15_nJ15_nK30_nL3_tI6_tJ6_s10.txt,15,15,30,3,6,6,10,12,e3ad38c1afaa0d3f288fba9af7c9f4c5
kstar_nI15_nJ15_nK30_nL3_tI8_tJ8_s1.txt,15,15,30,3,8,8,1,16,993c4dccbdfb095e78f41cc4997cb634
kstar_nI15_nJ15_nK30_nL3_tI8_tJ8_s2.txt,15,15,30,3,8,8,2,16,2f2498891cff4b605ba6f4a2bdf4351f
kstar_nI15_nJ15_nK30_nL3_tI8_tJ8_s3.txt,15,15,30,3,8,8,3,16,bbc799f717d242babc3d4ae9446448e5
kstar_nI15_nJ15_nK30_nL3_tI8_tJ8_s4.txt,15,15,30,3,8,8,4,16,b453dc021b1b4ea1e593993e42470cf1
kstar_nI15_nJ15_nK30_nL3_tI8_tJ8_s5.txt,15,15,30,3,8,8,5,16,edf021aca4210be3ea33e607d5d0dbac
kstar_nI15_nJ15_nK30_nL3_tI8_tJ8_s6.txt,15,15,30,3,8,8,6,16,c74f0ab5d7127617db5f4138c8898ac9
kstar_nI15_nJ15_nK30_nL3_tI8_tJ8_s7.txt,15,15,30,3,8,8,7,16,f15e5bb10acbf742603d1e04a4a837e0
kstar_nI15_nJ15_nK30_nL3_tI8_tJ8_s8.txt,15,15,30,3,8,8,8,16,6ba10ec54d75df454b0cefa301080ea6
kstar_nI15_nJ15_nK30_nL3_tI8_tJ8_s9.txt,15,15,30,3,8,8,9,16,3bcc0bcb743d4ae6d573b4c4665351cc
kstar_nI15_nJ15_nK30_nL3_tI8_tJ8_s10.txt,15,15,30,3,8,8,10,16,360f89b0abb3ce6929bf5b501620f947
kstar_nI20_nJ20_nK30_nL3_tI2_tJ2_s1.txt,20,20,30,3,2,2,1,4,657338569fb86ecf079184480f017fd5
kstar_nI20_nJ20_nK30_nL3_tI2_tJ2_s2.txt,20,20,30,3,2,2,2,4,ef8bd6a87c66597f8f7c97702b5692bd
kstar_nI20_nJ20_nK30_nL3_tI2_tJ2_s3.txt,20,20,30,3,2,2,3,4,0df6daa18eb7451c5b143753de9477f3
kstar_nI20_nJ20_nK30_nL3_tI2_tJ2_s4.txt,20,20,30,3,2,2,4,4,557c815429cd0c644d9aa7a12487c74d
kstar_nI20_nJ20_nK30_nL3_tI2_tJ2_s5.txt,20,20,30,3,2,2,5,4,4f7f50f5ae2273e13a5313cba18af668
kstar_nI20_nJ20_nK30_nL3_tI2_tJ2_s6.txt,20,20,30,3,2,2,6,4,ec5c0b40563214a5b9bba2270203ec87
kstar_nI20_nJ20_nK30_nL3_tI2_tJ2_s7.txt,20,20,30,3,2,2,7,4,6546b516dcb19634aa229988ada0f54b
kstar_nI20_nJ20_nK30_nL3_tI2_tJ2_s8.txt,20,20,30,3,2,2,8,4,538744a473ef35c3251dcd8c9b7308e7
kstar_nI20_nJ20_nK30_nL3_tI2_tJ2_s9.txt,20,20,30,3,2,2,9,4,13ed41d027264e6e758f416bbc7fcc58
kstar_nI20_nJ20_nK30_nL3_tI2_tJ2_s10.txt,20,20,30,3,2,2,10,4,0ec3c7fe0516efaff7fb9936b1a40349
kstar_nI20_nJ20_nK30_nL3_tI4_tJ4_s1.txt,20,20,30,3,4,4,1,8,7b6d66b8b510aa19592fb6d9bf3f4502
kstar_nI20_nJ20_nK30_nL3_tI4_tJ4_s2.txt,20,20,30,3,4,4,2,8,99d9fcfabf27059cccbbef8b4deb14b9
kstar_nI20_nJ20_nK30_nL3_tI4_tJ4_s3.txt,20,20,30,3,4,4,3,8,8dda65555b4759f40ed4bd3b4f6f86a9
kstar_nI20_nJ20_nK30_nL3_tI4_tJ4_s4.txt,20,20,30,3,4,4,4,8,36ffcebc409c0680b9268fb0c59eb9da
kstar_nI20_nJ20_nK30_nL3_tI4_tJ4_s5.txt,20,20,30,3,4,4,5,8,c93378b5a312ba71c7fc87a640947a89
kstar_nI20_nJ20_nK30_nL3_tI4_tJ4_s6.txt,20,20,30,3,4,4,6,8,cc071662f183b41d80e3ece2784e9bb4
kstar_nI20_nJ20_nK30_nL3_tI4_tJ4_s7.txt,20,20,30,3,4,4,7,8,77738f05a10f87d06a7d510d11d6a8ba
kstar_nI20_nJ20_nK30_nL3_tI4_tJ4_s8.txt,20,20,30,3,4,4,8,8,5cab7347a715cb92d59421d5a5fe356a
kstar_nI20_nJ20_nK30_nL3_tI4_tJ4_s9.txt,20,20,30,3,4,4,9,8,80be7b47c3af41756e4590e9c2808ffe
kstar_nI20_nJ20_nK30_nL3_tI4_tJ4_s10.txt,20,20,30,3,4,4,10,8,ed395b6fb5447db853faf4393aac3589
kstar_nI20_nJ20_nK30_nL3_tI6_tJ6_s1.txt,20,20,30,3,6,6,1,12,21a4fa6f15dfea98ad6e47bc2592ec00
kstar_nI20_nJ20_nK30_nL3_tI6_tJ6_s2.txt,20,20,30,3,6,6,2,12,4c1279c55bc2529c4998c7430f3c476d
kstar_nI20_nJ20_nK30_nL3_tI6_tJ6_s3.txt,20,20,30,3,6,6,3,12,02f8d565052f915900ff80be792dd39f
kstar_nI20_nJ20_nK30_nL3_tI6_tJ6_s4.txt,20,20,30,3,6,6,4,12,ea85fa70baebd506a812d15180e46219
kstar_nI20_nJ20_nK30_nL3_tI6_tJ6_s5.txt,20,20,30,3,6,6,5,12,dc60731b33aec9b56c7565764f4b12a6
kstar_nI20_nJ20_nK30_nL3_tI6_tJ6_s6.txt,20,20,30,3,6,6,6,12,8a9fad611bc9b956653056890c60861d
kstar_nI20_nJ20_nK30_nL3_tI6_tJ6_s7.txt,20,20,30,3,6,6,7,12,80b8450d8afc2de19291c1a79282db19
kstar_nI20_nJ20_nK30_nL3_tI6_tJ6_s8.txt,20,20,30,3,6,6,8,12,8314687c395feaeb9874ef3ddc84809e
